Date,Open,High,Low,Close,Adj Close,Volume
2008-04-17,5.046150,5.046150,5.046150,5.046150,5.046150,0
2008-04-18,null,null,null,null,null,null
2008-04-21,null,null,null,null,null,null
2008-04-22,null,null,null,null,null,null
2008-04-23,5.046150,5.046150,5.046150,5.063150,5.063150,0
2008-04-24,null,null,null,null,null,null
2008-04-25,null,null,null,null,null,null
2008-04-28,null,null,null,null,null,null
2008-04-29,null,null,null,null,null,null
2008-04-30,null,null,null,null,null,null
2008-05-01,null,null,null,null,null,null
2008-05-02,null,null,null,null,null,null
2008-05-05,null,null,null,null,null,null
2008-05-06,null,null,null,null,null,null
2008-05-07,5.174050,5.174050,5.174050,5.174050,5.174050,0
2008-05-08,5.188050,5.188050,5.188050,5.188050,5.188050,0
2008-05-09,5.143050,5.143050,5.143050,5.143050,5.143050,0
2008-05-12,5.120150,5.120150,5.120150,5.120150,5.120150,0
2008-05-13,5.132150,5.132150,5.132150,5.132150,5.132150,0
2008-05-14,5.148800,5.148800,5.148800,5.148800,5.148800,0
2008-05-15,5.164750,5.164750,5.164750,5.164750,5.164750,0
2008-05-16,5.090300,5.090300,5.090300,5.090300,5.090300,0
2008-05-19,5.098400,5.098400,5.098400,5.098400,5.098400,0
2008-05-20,5.058500,5.058500,5.058500,5.058500,5.058500,0
2008-05-21,5.036200,5.036200,5.036200,5.036200,5.036200,0
2008-05-22,5.079450,5.079450,5.079450,5.079450,5.079450,0
2008-05-23,5.065900,5.065900,5.065900,5.065900,5.065900,0
2008-05-27,5.069450,5.069450,5.069450,5.069450,5.069450,0
2008-05-28,5.074950,5.074950,5.074950,5.074950,5.074950,0
2008-05-29,5.138800,5.138800,5.138800,5.138800,5.138800,0
2008-05-30,5.152700,5.152700,5.152700,5.152700,5.152700,0
2008-06-02,5.178950,5.178950,5.178950,5.178950,5.178950,0
2008-06-03,5.206350,5.206350,5.206350,5.206350,5.206350,0
2008-06-04,5.219450,5.219450,5.219450,5.219450,5.219450,0
2008-06-05,5.156600,5.156600,5.156600,5.156600,5.156600,0
2008-06-06,5.080300,5.080300,5.080300,5.080300,5.080300,0
2008-06-09,5.124750,5.124750,5.124750,5.124750,5.124750,0
2008-06-10,5.220450,5.220450,5.220450,5.220450,5.220450,0
2008-06-11,5.189650,5.189650,5.189650,5.189650,5.189650,0
2008-06-12,5.067800,5.067800,5.067800,5.067800,5.067800,0
2008-06-13,5.289500,5.289500,5.289500,5.289500,5.289500,0
2008-06-16,5.221800,5.221800,5.221800,5.221800,5.221800,0
2008-06-17,5.228050,5.228050,5.228050,5.228050,5.228050,0
2008-06-18,5.214200,5.214200,5.214200,5.214200,5.214200,0
2008-06-19,5.233650,5.233650,5.233650,5.233650,5.233650,0
2008-06-20,5.193450,5.193450,5.193450,5.193450,5.193450,0
2008-06-23,5.199450,5.199450,5.199450,5.199450,5.199450,0
2008-06-24,5.155300,5.155300,5.155300,5.155300,5.155300,0
2008-06-25,5.121550,5.121550,5.121550,5.121550,5.121550,0
2008-06-26,5.092300,5.092300,5.092300,5.092300,5.092300,0
2008-06-27,5.106950,5.106950,5.106950,5.106950,5.106950,0
2008-06-30,5.128750,5.128750,5.128750,5.128750,5.128750,0
2008-07-01,5.110500,5.110500,5.110500,5.110500,5.110500,0
2008-07-02,5.097200,5.097200,5.097200,5.097200,5.097200,0
2008-07-03,5.129350,5.129350,5.129350,5.129350,5.129350,0
2008-07-07,5.109600,5.109600,5.109600,5.109600,5.109600,0
2008-07-08,5.173450,5.173450,5.173450,5.173450,5.173450,0
2008-07-09,5.146700,5.146700,5.146700,5.146700,5.146700,0
2008-07-10,5.146050,5.146050,5.146050,5.146050,5.146050,0
2008-07-11,5.107300,5.107300,5.107300,5.107300,5.107300,0
2008-07-14,5.094750,5.094750,5.094750,5.094750,5.094750,0
2008-07-15,5.095750,5.095750,5.095750,5.095750,5.095750,0
2008-07-16,5.110500,5.110500,5.110500,5.130600,5.130600,1
2008-07-17,5.111000,5.111000,5.101000,5.119450,5.119450,4
2008-07-18,5.112000,5.112000,5.112000,5.116800,5.116800,0
2008-07-21,5.097800,5.097800,5.097800,5.097800,5.097800,0
2008-07-22,5.134250,5.134250,5.134250,5.134250,5.134250,0
2008-07-23,5.186850,5.186850,5.186850,5.186850,5.186850,0
2008-07-24,5.203350,5.203350,5.203350,5.203350,5.203350,0
2008-07-25,5.183700,5.183700,5.183700,5.183700,5.183700,0
2008-07-28,5.156050,5.156050,5.156050,5.156050,5.156050,0
2008-07-29,5.207500,5.207500,5.207500,5.207500,5.207500,0
2008-07-30,5.177400,5.177400,5.177400,5.177400,5.177400,1
2008-07-31,5.166500,5.166500,5.166500,5.149400,5.149400,1
2008-08-01,5.150500,5.150500,5.150500,5.164900,5.164900,0
2008-08-04,null,null,null,null,null,null
2008-08-05,5.214950,5.214950,5.214950,5.214950,5.214950,0
2008-08-06,5.231650,5.231650,5.231650,5.231650,5.231650,0
2008-08-07,5.240000,5.240000,5.240000,5.238200,5.238200,1
2008-08-08,5.385000,5.385000,5.385000,5.374050,5.374050,0
2008-08-11,5.388950,5.388950,5.388950,5.388950,5.388950,0
2008-08-12,5.382150,5.382150,5.382150,5.382150,5.382150,0
2008-08-13,5.396950,5.396950,5.396950,5.396950,5.396950,0
2008-08-14,5.416950,5.416950,5.416950,5.416950,5.416950,0
